动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-03-18 13:45:56,'2026031813455127653251085681,入账,11.6,聚合账户,货款结算入账,精选联盟,'6951126991976404311,'6951126991976404311,'SS76173218923991867300185,2026-03-07 22:46:04,'3655823159371935274,女孩卡通糖果棒棒糖仙女棒灯光音乐电动魔法棒梦幻公主过家家玩具,'3969699629241232,橘子🍊百货甄选‍🔥,普通订单,12.9,0,0,0,0,0,0,0,0,0,0,0,-0.65,-0.65,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-19 04:07:10,'2026031904070627393397865681,入账,3.88,聚合账户,货款结算入账,小店自卖,'6951148588899832927,'6951148588899832927,'SS76177254949435640470238,2026-03-09 11:41:11,'3792314824554316089,安静书女孩新款手工diy儿童三丽鸥不用剪免裁剪库洛米美乐蒂玩具,,,普通订单,3.9,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,佛山市南海区悦人生贸易商行,订单结算
2026-03-19 13:39:24,'2026031913392029656030785681,入账,7.57,聚合账户,货款结算入账,小店自卖,'6924731024705027341,'6924731024705027341,'SS76177240729020828560207,2026-03-08 19:06:39,'3696061877965685066,儿童整蛊马桶投粑粑趣味马桶创意恶搞新奇特桌面游戏亲子互动玩具,,,普通订单,7.62,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,佛山市南海区悦人生贸易商行,订单结算
2026-03-20 08:49:33,'2026032008493132901248095681,入账,18.25,聚合账户,货款结算入账,小店自卖,'6924765662755061545,'6924765662755061545,'SS76180964957698952200171,2026-03-10 07:40:32,'3758953782172582348,亲子互动搞笑聚会休闲整蛊搞怪多人桌面游戏挤痘痘喷水解压玩具,,,普通订单,18.36,0,0,0,0,0,0,0,0,0,0,0,-0.11,0,0,0,0,0,0,是-商品卡免佣,0.81,佛山市南海区悦人生贸易商行,订单结算
2026-03-20 09:03:53,'2026032009034813553833055681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6951039381492864376,'6951039381492864376,'SS76180559693866439680213,2026-03-04 12:33:25,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-20 09:16:31,'2026032009162701514048275681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6924760478240243632,'6924760478240243632,'SS76180973021947172180069,2026-03-09 21:05:56,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,12.9,0,0,3,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-20 12:57:55,'2026032012574819811371885681,出账,10,聚合账户,消费者赔付,,'6951313816169748116,'6951313816169748116,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单存在欺诈发货问题，对消费者进行赔付
2026-03-20 13:26:39,'2026032013263516277675585681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6951309484065232801,'6951309484065232801,'SS76181923920968589210131,2026-03-14 14:54:23,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-20 14:47:23,'2026032014471518332882195681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6924650425250839981,'6924650425250839981,'SS76180559761134556580074,2026-03-05 01:38:57,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-21 02:06:09,'2026032102060635065247155681,出账,3,聚合账户,消费者赔付,,'6924921961091661229,'6924921961091661229,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,因订单存在「发货超时」问题，对消费者进行赔付
2026-03-21 15:28:15,'2026032115280133902108665681,出账,2.5,聚合账户,偏远地区物流服务,,,'6925018918710902337,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,偏远地区配送费_PK7619607392111984930_YT0022636157924
2026-03-22 05:24:19,'2026032205241328159882665681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6951327456661018287,'6951327456661018287,'SS76189163762328870800160,2026-03-15 22:41:14,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-22 05:27:05,'2026032205270122525261325681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6924785751949803306,'6924785751949803306,'SS76187297026608665940046,2026-03-11 16:55:22,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-22 05:46:37,'2026032205463210203143685681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6951236555768469030,'6951236555768469030,'SS76188373522280947710160,2026-03-11 16:48:04,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-22 08:58:10,'2026032208580640185246825681,入账,13.9,聚合账户,货款结算入账,小店自卖,'6951225551961330893,'6951225551961330893,'SS76188367274865341440009,2026-03-11 18:17:38,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,13.09,0,0,0.65,0,0,0,0,0,0.24,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,佛山市南海区悦人生贸易商行,订单结算
2026-03-22 09:57:29,'2026032209572437510520425681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6951253082311890319,'6951253082311890319,'SS76188373599326543770209,2026-03-12 10:13:40,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-23 04:23:48,'2026032304234202938148475681,入账,11.11,聚合账户,货款结算入账,小店自卖,'6924850675211992923,'6924850675211992923,'SS76192622385243141540003,2026-03-13 15:57:42,'3696260792950325399,宝宝安抚仿真婴儿娃娃搪胶娃娃公仔玩偶亲子互动儿童萌趣玩具礼物,,,普通订单,11.18,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,0,0,0,0,0,是-商品卡免佣,0.51,佛山市南海区悦人生贸易商行,订单结算
2026-03-23 14:03:05,'2026032314030014360089965681,出账,1348.83,聚合账户,提现,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,提现
2026-03-23 16:23:56,'2026032316234200088476585681,出账,2.5,聚合账户,偏远地区物流服务,,,'6924968540506128133,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,偏远地区配送费_PK7620363911054082310_YT0023208968720
2026-03-24 04:23:04,'2026032404225914639598715681,入账,9.6,聚合账户,货款结算入账,精选联盟,'6924857086637801154,'6924857086637801154,'SS76195781070076974350245,2026-03-13 21:21:41,'3696633482311762359,亲子儿童趣味战舰海舰棋船游戏棋陆地军事战略海战棋双人对战玩具,'1895196897313140,一泽妈妈,普通订单,10.66,0,0,0,0,0,0,0,0,0,0,0,-0.53,-0.53,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-24 04:36:50,'2026032404364600596751875681,入账,21.93,聚合账户,货款结算入账,小店自卖,'6924700023885364284,'6924700023885364284,'SS76170366533924459670187,2026-03-07 11:41:19,'3711461502759338383,太阳能变形太空机器人儿童拼装玩具益智小学生智力动脑6-12周岁男,,,普通订单,22.06,0,0,0,0,0,0,0,0,0,0,0,-0.13,0,0,0,0,0,0,是-商品卡免佣,0.95,佛山市南海区悦人生贸易商行,订单结算
2026-03-24 05:58:10,'2026032405580613299228575681,入账,13.82,聚合账户,货款结算入账,小店自卖,'6924855162063388269,'6924855162063388269,'SS76195791121158310920141,2026-03-13 23:54:32,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,,,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,佛山市南海区悦人生贸易商行,订单结算
2026-03-24 09:59:18,'2026032409591503695741595681,入账,6.8,聚合账户,货款结算入账,小店自卖,'6951205503699981547,'6951205503699981547,'SS76196243641362680660229,2026-03-11 13:57:37,'3703671597891191029,儿童口腔牙科小医生护士医疗玩具 仿真牙医套装过家家,,,普通订单,6.84,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-24 10:59:20,'2026032410591428158861435681,入账,15.2,聚合账户,货款结算入账,精选联盟,'6924837226960223509,'6924837226960223509,'SS76195780946815721310235,2026-03-13 17:14:31,'3677154057774039349,爆破气球桌面游戏俄罗斯左轮转盘玩具枪聚会转轮惩罚桌游胆大挑战,'231320452882807,晚晚的心动口袋,普通订单,16.9,0,0,0,0,0,0,0,0,0,0,0,-0.85,-0.85,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-24 12:54:49,'2026032412544401651679185681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6951284724185044913,'6951284724185044913,'SS76195791162623759630018,2026-03-14 10:17:49,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 01:30:13,'2026032501300907684759675681,入账,13.82,聚合账户,货款结算入账,小店自卖,'6951300769479398424,'6951300769479398424,'SS76199204630489830860223,2026-03-14 19:18:59,'3655823159371935274,女孩卡通糖果棒棒糖仙女棒灯光音乐电动魔法棒梦幻公主过家家玩具,,,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 03:44:50,'2026032503444223459108305681,入账,33.6,聚合账户,货款结算入账,小店自卖,'6951307748231419811,'6951307748231419811,'SS76199207521288363950131,2026-03-14 21:54:17,'3677154057774039349,爆破气球桌面游戏俄罗斯左轮转盘玩具枪聚会转轮惩罚桌游胆大挑战,,,普通订单,33.8,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,是-商品卡免佣,1.47,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 03:44:50,'2026032503444400549852265681,入账,11.6,聚合账户,货款结算入账,精选联盟,'6951434299999786958,'6951434299999786958,'SS76199987275576937110158,2026-03-20 20:11:27,'3655823159371935274,女孩卡通糖果棒棒糖仙女棒灯光音乐电动魔法棒梦幻公主过家家玩具,'807515330184720,恬季小铺,普通订单,12.9,0,0,0,0,0,0,0,0,0,0,0,-0.65,-0.65,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 09:05:53,'2026032509055012425344365681,入账,6.8,聚合账户,货款结算入账,小店自卖,'6924780940839189971,'6924780940839189971,'SS76199204632481303140098,2026-03-10 20:46:21,'3703671597891191029,儿童口腔牙科小医生护士医疗玩具 仿真牙医套装过家家,,,普通订单,1.84,0,0,5,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 12:26:43,'2026032512264007727189025681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6924979837528604500,'6924979837528604500,'SS76199758854160266780017,2026-03-18 22:00:39,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-25 12:26:43,'2026032512264100465679365681,入账,11.83,聚合账户,货款结算入账,小店自卖,'6951346376896353395,'6951346376896353395,'SS76199978327385871710226,2026-03-16 23:26:24,'3780643570868945489,儿童过家家孩子扮演玩具迷你仿真超市收银机便利店收银台模型道具,,,普通订单,11.9,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,0,0,0,0,0,是-商品卡免佣,0.51,佛山市南海区悦人生贸易商行,订单结算
2026-03-26 04:17:30,'2026032604172620389404265681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6951340610824509121,'6951340610824509121,'SS76203220511192681590242,2026-03-16 10:26:48,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'96496916275,澜澜种草,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-26 07:56:31,'2026032607562721196641785681,入账,6.95,聚合账户,货款结算入账,小店自卖,'6924897330600770651,'6924897330600770651,'SS76203208873252500570249,2026-03-15 15:14:29,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,0.01,0,0,6.98,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-26 08:24:19,'2026032608241539809561875681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6951459415580480899,'6951459415580480899,'SS76203557538620216410077,2026-03-21 12:06:53,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
