平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,2,77.0,278.0,115,50,smww-lh,101-Temu全托管
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,1,36.0,105.0,184,0,smww-sjl,101-Temu全托管
TEMU,"Children's memory game console, a toy with multiple levels to train memory, fun game console for kids and adults, brain-training puzzle toy",1776657630774,0,0.0,1.0,0,0,jyyxj-899,101-Temu全托管
TEMU,"Children's memory game console, a toy with multiple levels to train memory, fun game console for kids and adults, brain-training puzzle toy",1776657630774,0,0.0,0.0,4,0,wy-jyyxj-802-opp,101-Temu全托管
TEMU,Children Mini Guitar Toy Ukulele Musical Instrument 4 Strings Educational Toys for Kids Music Learning Game Gift for Boys Girls,1776657630775,0,0.0,1.0,0,0,FZJT-RE,101-Temu全托管
TEMU,儿童爬行迷你螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657630775,6,6.0,193.0,23,73,HLPX-C-1,101-Temu全托管
TEMU,儿童爬行迷你螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657630775,6,111.0,353.0,116,99,HLPX-Q-1,101-Temu全托管
TEMU,儿童爬行迷你螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657630775,10,101.0,344.0,26,195,HLPX-L-1,101-Temu全托管
TEMU,儿童爬行迷你螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657630775,26,300.0,1211.0,288,87,HLPX-H-1,101-Temu全托管
TEMU,"Portable Challenge Drop Stick Game, Eye-Hand Coordination Training Game, Parent-Child Interactive Party Toy Christmas Gift",1776657630775,40,441.0,1678.0,333,376,595-62-lv,101-Temu全托管
TEMU,"Portable Challenge Drop Stick Game, Eye-Hand Coordination Training Game, Parent-Child Interactive Party Toy Christmas Gift",1776657630775,19,292.0,1473.0,395,323,595-62-ye,101-Temu全托管
TEMU,Two Player Strategy Table Game Children Interesting Black Ship Sea Ship Interactive Board Game Boys Toys Gift,1776657630775,12,185.0,603.0,305,76,HG-JX-007-106,101-Temu全托管
TEMU,"Desktop pizza hockey toy board game, suitable for indoor and outdoor educational parent-child interactive games, family gathering and party games",1776657630775,0,0.0,20.0,0,0,007-138,101-Temu全托管
TEMU,Ice Cream Folding Joy Playing Home Toy Hand Eye Coordination Parent Child Interactive Desktop Game Puzzle Toy,1776657630775,0,47.0,76.0,0,57,zcbql-ch,102-Temu全托管
TEMU,7Pcs Kids Educational Cube Shape Matching Stacking Learning Toys Colorful Blocks Sorting Game Baby Toys Gift,1776657634893,4,38.0,96.0,37,0,SGSSL-1,102-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1776657634894,0,9.0,53.0,175,0,SLJC-lv,102-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1776657634894,3,23.0,118.0,87,0,SLJC-hon,102-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1776657634894,0,10.0,47.0,63,0,SLJC-jin,102-Temu全托管
TEMU,"Shark fishing set, collapsible board game, fishing competition, party interactive game board game set gift",1776657634894,0,0.0,0.0,0,10,1111-28,102-Temu全托管
TEMU,快速反应挑战套装 多人互动反应力训练玩具 室内活动玩具 圣诞礼物万圣节礼物春节派对互动有趣玩具,1776657634894,0,72.0,82.0,73,48,HM-24-h,102-Temu全托管
TEMU,快速反应挑战套装 多人互动反应力训练玩具 室内活动玩具 圣诞礼物万圣节礼物春节派对互动有趣玩具,1776657634894,0,5.0,5.0,0,16,HM-24-lv,102-Temu全托管
TEMU,吹球过杯跳球游戏，趣味的互动桌面游戏，派对及家庭游戏之夜，适合社交聚会、万圣节、圣诞和新年派对游戏,1776657634894,0,1.0,8.0,14,0,ST1959A,102-Temu全托管
TEMU,儿童计时配对拼图玩具，亲子互动早教益智桌游专注力游戏玩具，适合11个节日送儿童礼物,1776657634894,0,6.0,14.0,17,0,A666bl,102-Temu全托管
TEMU,锻炼儿童反应力掌上游戏机赛车电子玩具便携式男孩女孩 16个的节日礼物,1776657634894,0,0.0,0.0,15,0,2005-bl,102-Temu全托管
TEMU,锻炼儿童反应力掌上游戏机赛车电子玩具便携式男孩女孩 16个的节日礼物,1776657634894,1,7.0,20.0,2,5,2005-or,102-Temu全托管
TEMU,儿童手推旋转玩具，可爱玩具小鸡乌龟可调节铃铛可拆卸步行训练器,1776657634894,0,3.0,8.0,0,0,312,102-Temu全托管
TEMU,儿童手推旋转玩具，可爱玩具小鸡乌龟可调节铃铛可拆卸步行训练器,1776657634894,0,12.0,28.0,5,0,313,102-Temu全托管
TEMU,"Educational Digital Lock For Kids, With Key Number Matching And Counting Number Lock Children'S Toy, Suitable As A Gift For 12 Holidays",1776657634894,0,17.0,33.0,3,33,KM-4-OPP,102-Temu全托管
TEMU,"Educational Digital Lock For Kids, With Key Number Matching And Counting Number Lock Children'S Toy, Suitable As A Gift For 12 Holidays",1776657634894,0,10.0,43.0,49,0,KM-4,102-Temu全托管
TEMU,Home Decoration Interesting Prank Gift Middle Finger In Box Box Funny Creative Gifts Office Desk Decoration Gifts For Guests,1776657634894,0,0.0,0.0,5,0,ZZLH,102-Temu全托管
TEMU,搞笑声音效果机派对玩具 有趣的活动聚会音效机氛围声音搞笑声音，4个季节都适用生日礼物,1776657634894,0,4.0,22.0,19,0,zgyxj,102-Temu全托管
TEMU,"Soft track racing set, speed competition car model, assembly racing track kit, suitable as a gift for festivals.",1776657634894,0,0.0,0.0,8,0,YX006-rd,102-Temu全托管
TEMU,"Soft track racing set, speed competition car model, assembly racing track kit, suitable as a gift for festivals.",1776657634894,0,1.0,2.0,7,0,YX006-bl,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹儿童，适合4个季节的礼物,1776657634894,0,6.0,11.0,0,21,HLPX-H-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹儿童，适合4个季节的礼物,1776657634894,0,8.0,9.0,6,14,HLPX-L-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹儿童，适合4个季节的礼物,1776657634894,3,7.0,9.0,2,18,HLPX-Q-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹儿童，适合4个季节的礼物,1776657634894,0,1.0,4.0,11,0,HLPX-C-1,102-Temu全托管
TEMU,Girls Hair Gems Kit Kids Princess Makeup Toys Set Rhinestone Hair Machine DIY Crystal Stickers Hair Decoration for Girl Toy Gift,1776657634894,0,0.0,7.0,0,0,DZJ-12,102-Temu全托管
TEMU,Two player table game children interesting black warship sea ship board game boys toys,1776657634894,1,8.0,39.0,12,8,HG-JX-007-106,102-Temu全托管
TEMU,"Children Role Play Game Backpack Box Toy,Simulation Tool Kit Set for Kids,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",1776657634894,0,0.0,1.0,2,0,9988-156,102-Temu全托管
TEMU,"Children Role Play Game Backpack Box Toy,Simulation Tool Kit Set for Kids,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",1776657634894,0,0.0,0.0,1,0,9988-158,102-Temu全托管
TEMU,IQ益智棋盘游戏经典金字塔板珍珠儿童逻辑思维珠玩具适合-适合11个季节的礼品,1776657639059,17,79.0,291.0,170,0,007,102-Temu全托管
TEMU,"Children's science and education enlightenment toys, puzzle, parent-child interaction, divine machine clever calculation, level breaking desktop game",1776657639059,8,112.0,591.0,262,0,HG-JX-007-152,102-Temu全托管
TEMU,儿童记忆游戏机，锻炼儿童记忆力以及反应力玩具，有趣的游戏玩具，也适用于赠送给孩子当节日礼物或生日礼物,1776657639059,12,116.0,229.0,238,0,wy-jyyxj-802-opp,102-Temu全托管
TEMU,"Swimming Dolls Play In The Bathroom, Interactive Online Swimming Dolls In Summer, Wind Up Toys, Not Charged",1776657639059,21,380.0,922.0,1,76,youshui-mn-opp,102-Temu全托管
TEMU,高尔夫球训练套装，适合儿童培养高尔夫运动的爱好兴趣，是一个很好的训练高尔夫的选择,1776657639059,0,7.0,25.0,21,0,FI-etgefq-2,102-Temu全托管
TEMU,高尔夫球训练套装，适合儿童培养高尔夫运动的爱好兴趣，是一个很好的训练高尔夫的选择,1776657639059,0,12.0,31.0,16,0,FI-etgefq,102-Temu全托管
TEMU,儿童井字棋桌游玩具 逻辑思维挑战益智玩具 亲子互动策略玩具 圣诞礼物,1776657639059,0,0.0,1.0,0,0,10165,102-Temu全托管
TEMU,Kids Kitchen Toys Pretend Simulation Electric Dishwasher Children'S Kitchen Wash Basin Sink Role Playing Toy Boys Girls Gifts,1776657639059,0,7.0,40.0,11,0,829C,102-Temu全托管
TEMU,Kids Kitchen Toys Pretend Simulation Electric Dishwasher Children'S Kitchen Wash Basin Sink Role Playing Toy Boys Girls Gifts,1776657639059,0,5.0,22.0,35,0,829A,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657639059,0,0.0,0.0,31,0,HLPX-L-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657639059,0,0.0,0.0,5,0,HLPX-Q-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657639059,0,0.0,0.0,24,0,HLPX-H-1,102-Temu全托管
TEMU,儿童爬行螃蟹玩具汽车模拟动物惯性爬行互动行走小螃蟹，适合11个节日的礼物,1776657639059,0,0.0,0.0,1,0,HLPX-C-1,102-Temu全托管
TEMU,"16 Different Styles Of Prank Sound Effects, Prank Noise Maker Sound Gifts Easter Family Gathering, Friend Gathering Fun Gift",1776657639059,0,5.0,13.0,0,15,zgyxj-2001-5,102-Temu全托管
TEMU,Funny Kids Bouncing Spider Game Spider Board Game Party Entertainment Family Parent-Child Interaction Table Game Toy for Boys Girls,1776657639059,0,0.0,6.0,0,0,007-109,102-Temu全托管
TEMU,"Party multiplayer game with novel and quirky toys for squeezing pimples, battle of popping pimple toys with water spray, suitable for family gatherings and interactive funny games.",1776657639059,0,3.0,11.0,11,0,707-98,102-Temu全托管
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,0.0,2.0,15,0,smww-ml,102-Temu全托管
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,2.0,5.0,12,0,smww-lh,102-Temu全托管
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,6.0,22.0,16,0,smww-xx,102-Temu全托管
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,1.0,4.0,12,0,smww-sjl,102-Temu全托管
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,9.0,38.0,40,0,smww-tz,102-Temu全托管
