2026-04-20 10:05:05,756 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:05,756 | INFO | YmxNews | 线程 YmxThread_0 美国第11页获取到100条数据，累计1100条
2026-04-20 10:05:06,765 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第12页的数据
2026-04-20 10:05:07,659 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:07,660 | INFO | YmxNews | 线程 YmxThread_0 美国第12页获取到100条数据，累计1200条
2026-04-20 10:05:08,663 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第13页的数据
2026-04-20 10:05:09,476 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:09,476 | INFO | YmxNews | 线程 YmxThread_0 美国第13页获取到100条数据，累计1300条
2026-04-20 10:05:10,486 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第14页的数据
2026-04-20 10:05:11,333 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:11,333 | INFO | YmxNews | 线程 YmxThread_0 美国第14页获取到100条数据，累计1400条
2026-04-20 10:05:12,348 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第15页的数据
2026-04-20 10:05:13,164 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:13,164 | INFO | YmxNews | 线程 YmxThread_0 美国第15页获取到100条数据，累计1500条
2026-04-20 10:05:14,170 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第16页的数据
2026-04-20 10:05:14,935 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:14,936 | INFO | YmxNews | 线程 YmxThread_0 美国第16页获取到100条数据，累计1600条
2026-04-20 10:05:15,951 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第17页的数据
2026-04-20 10:05:16,815 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:16,815 | INFO | YmxNews | 线程 YmxThread_0 美国第17页获取到100条数据，累计1700条
2026-04-20 10:05:17,818 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第18页的数据
2026-04-20 10:05:18,567 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:18,567 | INFO | YmxNews | 线程 YmxThread_0 美国第18页获取到100条数据，累计1800条
2026-04-20 10:05:19,581 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第19页的数据
2026-04-20 10:05:20,390 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:20,390 | INFO | YmxNews | 线程 YmxThread_0 美国第19页获取到100条数据，累计1900条
2026-04-20 10:05:21,395 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第20页的数据
2026-04-20 10:05:22,209 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:22,209 | INFO | YmxNews | 线程 YmxThread_0 美国第20页获取到100条数据，累计2000条
2026-04-20 10:05:23,215 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第21页的数据
2026-04-20 10:05:24,084 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:24,085 | INFO | YmxNews | 线程 YmxThread_0 美国第21页获取到100条数据，累计2100条
2026-04-20 10:05:25,088 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第22页的数据
2026-04-20 10:05:25,548 | INFO | YmxNews | 线程 YmxThread_0 美国第22页无数据，停止爬取
