2026-03-03 12:24:08,416 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2103-Temu全托管_02_全球.xlsx
2026-03-03 12:24:09,467 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-03-03 12:24:11,618 | INFO | financial_data | 确认授权并前往
2026-03-03 12:24:25,780 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2103-Temu全托管_02_欧区.xlsx
2026-03-03 12:24:26,809 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-03-03 12:24:29,112 | INFO | financial_data | 确认授权并前往
2026-03-03 12:24:40,520 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2103-Temu全托管_02_美国.xlsx
2026-03-03 12:24:41,541 | INFO | financial_data | ✅ 2103-Temu全托管 - 所有财务数据下载完成
2026-03-03 12:24:41,541 | INFO | financial_data | 全部报表下载完成
2026-03-03 12:24:41,542 | INFO | financial_data | 2103-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:24:42,851 | INFO | financial_data | --------------正在爬取店铺2102-Temu全托管----的数据
2026-03-03 12:24:42,851 | INFO | financial_data | 2102-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:24:46,383 | INFO | financial_data | 2102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'eeakakjccihhgkahpdohdfhkoheehanb', 'browserID': 102858197, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '64999', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2102店（152店改）', 'duplicate': 3140, 'ip': '49.7.135.46', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 102858197, 'containerCode': '1036581979', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:24:46,383 | INFO | financial_data | 2102-Temu全托管 - 浏览器启动成功, 调试端口: 64999
