2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 西班牙第1页获取到100条数据，累计100条
2026-01-21 09:36:03,812 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第2页的数据
2026-01-21 09:36:03,812 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第2页的数据
2026-01-21 09:36:03,812 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第2页的数据
2026-01-21 09:36:03,842 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第2页的数据
2026-01-21 09:36:03,842 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第2页的数据
2026-01-21 09:36:03,842 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第2页的数据
2026-01-21 09:36:03,889 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第2页的数据
2026-01-21 09:36:03,889 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第2页的数据
2026-01-21 09:36:03,889 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第2页的数据
2026-01-21 09:36:03,920 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第2页的数据
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 英国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 英国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,696 | INFO | YmxNews | 线程 YmxThread_1 英国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存93条数据到文件
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存93条数据到文件
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存93条数据到文件
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 法国第2页获取到93条数据，累计193条
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 法国第2页获取到93条数据，累计193条
2026-01-21 09:36:04,767 | INFO | YmxNews | 线程 YmxThread_3 法国第2页获取到93条数据，累计193条
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 德国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 德国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,917 | INFO | YmxNews | 线程 YmxThread_2 德国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,996 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:04,996 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
