2026-01-16 12:01:40,756 | INFO | login | 1108-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'oielegjolaoigkjpcikbcbepjdojkkja', 'browserID': 122453019, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\hubstudio', 'debuggingPort': '49467', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1108号店', 'duplicate': 2884, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\webdriver.exe', 'containerId': 122453019, 'containerCode': '1232530196', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:01:40,757 | INFO | login | 1108-Temu全托管 - 浏览器启动成功, 调试端口: 49467
2026-01-16 12:01:42,191 | INFO | login | 1108-Temu全托管 - 已连接浏览器
2026-01-16 12:01:42,662 | INFO | login | --------------------1108-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:01:46,459 | INFO | login | 1108-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:01:55,869 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-16 12:01:55,910 | INFO | login | 授权流程完成
2026-01-16 12:02:01,936 | INFO | login | 1108-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1108-Temu全托管_cookies.json
2026-01-16 12:02:01,936 | INFO | login | 1108-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:02:01,936 | INFO | login | 1108-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:02:08,809 | INFO | login | 1107-Temu全托管 - 第 1 次登录尝试
