2026-03-03 13:57:48,139 | INFO | financial_process_up | 2102-Temu全托管
2026-03-03 13:57:48,143 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:48,160 | INFO | financial_process_up | 2103-Temu全托管
2026-03-03 13:57:48,170 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:48,219 | INFO | financial_process_up | 2103-Temu全托管
2026-03-03 13:57:48,228 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:48,272 | INFO | financial_process_up | 2103-Temu全托管
2026-03-03 13:57:48,278 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:48,296 | INFO | financial_process_up | 2106-Temu全托管
2026-03-03 13:57:48,315 | WARNING | financial_process_up | ⚠️ Temu 结算文件发现未配置子表

📄 文件名：2106-Temu全托管_02_全球.xlsx
📌 未识别子表：支出-商品事故

请确认是否需要新增处理逻辑
2026-03-03 13:57:48,790 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:48,903 | INFO | financial_process_up | 2106-Temu全托管
2026-03-03 13:57:48,913 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算', '消费者及履约保障-售后补寄']
2026-03-03 13:57:48,997 | INFO | financial_process_up | 2106-Temu全托管
2026-03-03 13:57:49,005 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:49,095 | INFO | financial_process_up | 101-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,122 | INFO | financial_process_up | 102-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,142 | INFO | financial_process_up | 103-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,160 | INFO | financial_process_up | 104-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,211 | INFO | financial_process_up | 105-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,229 | INFO | financial_process_up | 106-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,251 | INFO | financial_process_up | 108-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,277 | INFO | financial_process_up | 109-Temu全托管KA_总表.xlsx--导出成功
2026-03-03 13:57:49,301 | INFO | financial_process_up | 110-Temu全托管KA_总表.xlsx--导出成功
2026-03-03 13:57:49,325 | INFO | financial_process_up | 1101-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,345 | INFO | financial_process_up | 1102-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,362 | INFO | financial_process_up | 1103-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,381 | INFO | financial_process_up | 1104-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,399 | INFO | financial_process_up | 1105-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,416 | INFO | financial_process_up | 1106-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,437 | INFO | financial_process_up | 1107-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,456 | INFO | financial_process_up | 1108-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,478 | INFO | financial_process_up | 112-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,496 | INFO | financial_process_up | 2101-Temu全托管KA_总表.xlsx--导出成功
2026-03-03 13:57:49,511 | INFO | financial_process_up | 2102-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,525 | INFO | financial_process_up | 2103-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,546 | INFO | financial_process_up | 2106-Temu全托管_总表.xlsx--导出成功
2026-03-03 13:57:49,568 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:57:49,568 | INFO | financial_process_up | 正在上传店铺: 101-Temu全托管_总表.xlsx, 共 55 条记录...
2026-03-03 13:57:52,612 | INFO | financial_process_up | 101-Temu全托管_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:57:52,651 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:57:52,651 | INFO | financial_process_up | 正在上传店铺: 102-Temu全托管_总表.xlsx, 共 74 条记录...
2026-03-03 13:57:55,267 | INFO | financial_process_up | 102-Temu全托管_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:57:55,294 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:57:55,294 | INFO | financial_process_up | 正在上传店铺: 103-Temu全托管_总表.xlsx, 共 49 条记录...
2026-03-03 13:57:56,646 | INFO | financial_process_up | 103-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:57:56,670 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
