2026-04-29 10:36:29,826 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:29,828 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:29,900 | INFO | auto_listing | 进度: 11/50 - 正在处理商品: 601100129881033
2026-04-29 10:36:29,900 | INFO | auto_listing | 商品 601100129881033 第 1/2 次采集尝试
2026-04-29 10:36:29,907 | INFO | auto_listing | 进度: 12/50 - 正在处理商品: 601100168659728
2026-04-29 10:36:29,908 | INFO | auto_listing | 商品 601100168659728 第 1/2 次采集尝试
2026-04-29 10:36:36,279 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100168659728
2026-04-29 10:36:36,325 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100168659728
2026-04-29 10:36:38,050 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100129881033
2026-04-29 10:36:38,098 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100129881033
2026-04-29 10:36:38,964 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100168659728
2026-04-29 10:36:40,561 | INFO | auto_listing | ✅ 上架成功: 601100168659728
2026-04-29 10:36:40,585 | INFO | auto_listing | 采集箱新页面已关闭 - 601100168659728
2026-04-29 10:36:40,604 | INFO | auto_listing | 外层采集页面已关闭 - 601100168659728
2026-04-29 10:36:40,860 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:40,862 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100129881033
2026-04-29 10:36:40,906 | INFO | auto_listing | 进度: 13/50 - 正在处理商品: 601100250106295
2026-04-29 10:36:40,907 | INFO | auto_listing | 商品 601100250106295 第 1/2 次采集尝试
2026-04-29 10:36:42,463 | INFO | auto_listing | ✅ 上架成功: 601100129881033
2026-04-29 10:36:42,484 | INFO | auto_listing | 外层采集页面已关闭 - 601100129881033
2026-04-29 10:36:42,630 | INFO | auto_listing | 进度: 14/50 - 正在处理商品: 601100250116610
2026-04-29 10:36:42,631 | INFO | auto_listing | 商品 601100250116610 第 1/2 次采集尝试
2026-04-29 10:36:43,902 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100250106295
2026-04-29 10:36:43,902 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100250106295
2026-04-29 10:36:44,699 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100250116610
2026-04-29 10:36:44,748 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100250116610
2026-04-29 10:36:46,894 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100250116610
2026-04-29 10:36:48,501 | INFO | auto_listing | ✅ 上架成功: 601100250116610
2026-04-29 10:36:48,527 | INFO | auto_listing | 采集箱新页面已关闭 - 601100250116610
2026-04-29 10:36:48,551 | INFO | auto_listing | 外层采集页面已关闭 - 601100250116610
2026-04-29 10:36:48,553 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100250106295
2026-04-29 10:36:48,587 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:48,619 | INFO | auto_listing | 进度: 15/50 - 正在处理商品: 601100270636537
2026-04-29 10:36:48,620 | INFO | auto_listing | 商品 601100270636537 第 1/2 次采集尝试
2026-04-29 10:36:50,150 | INFO | auto_listing | ✅ 上架成功: 601100250106295
2026-04-29 10:36:50,165 | INFO | auto_listing | 外层采集页面已关闭 - 601100250106295
2026-04-29 10:36:50,213 | INFO | auto_listing | 进度: 16/50 - 正在处理商品: 601100285256637
2026-04-29 10:36:50,213 | INFO | auto_listing | 商品 601100285256637 第 1/2 次采集尝试
2026-04-29 10:36:51,396 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100270636537
2026-04-29 10:36:51,396 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100270636537
2026-04-29 10:36:53,005 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100285256637
2026-04-29 10:36:53,044 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100285256637
2026-04-29 10:36:55,726 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100285256637
2026-04-29 10:36:56,411 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100270636537
2026-04-29 10:36:57,325 | INFO | auto_listing | ✅ 上架成功: 601100285256637
2026-04-29 10:36:57,349 | INFO | auto_listing | 采集箱新页面已关闭 - 601100285256637
2026-04-29 10:36:57,370 | INFO | auto_listing | 外层采集页面已关闭 - 601100285256637
2026-04-29 10:36:57,403 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:57,435 | INFO | auto_listing | 进度: 17/50 - 正在处理商品: 601100307595922
2026-04-29 10:36:57,436 | INFO | auto_listing | 商品 601100307595922 第 1/2 次采集尝试
2026-04-29 10:36:58,005 | INFO | auto_listing | ✅ 上架成功: 601100270636537
2026-04-29 10:36:58,018 | INFO | auto_listing | 外层采集页面已关闭 - 601100270636537
2026-04-29 10:36:58,067 | INFO | auto_listing | 进度: 18/50 - 正在处理商品: 601100358032007
2026-04-29 10:36:58,067 | INFO | auto_listing | 商品 601100358032007 第 1/2 次采集尝试
2026-04-29 10:37:00,205 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100307595922
2026-04-29 10:37:00,240 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100307595922
2026-04-29 10:37:00,863 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100358032007
2026-04-29 10:37:00,863 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100358032007
2026-04-29 10:37:02,599 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100307595922
2026-04-29 10:37:02,600 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100358032007
2026-04-29 10:37:04,215 | INFO | auto_listing | ✅ 上架成功: 601100307595922
2026-04-29 10:37:04,310 | INFO | auto_listing | ✅ 上架成功: 601100358032007
