2025-12-28 00:47:04,307 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-28 00:47:04,309 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:47:05,582 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-28 00:47:05,583 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-28 00:47:05,871 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-28 00:47:05,872 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-28 00:47:06,439 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-28 00:47:06,441 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:47:07,708 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-28 00:47:07,709 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-28 00:47:08,229 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-28 00:47:08,231 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:47:09,699 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-28 00:47:09,700 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-28 00:47:09,987 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-28 00:47:09,988 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-28 00:47:35,741 | INFO | shopee_sale_data | 解析完成，共找到 50 条有效数据
2025-12-28 00:47:35,743 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:47:37,013 | INFO | shopee_sale_data | [虾皮全托503-juyule] 第 2 页无数据，结束爬取
2025-12-28 00:47:37,014 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托502-xiyue------------------
2025-12-28 00:48:30,316 | INFO | shopee_sale_data | 程序开始启动
2025-12-28 00:48:30,316 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-28 00:48:30,317 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-28 00:48:30,817 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-28 00:48:30,820 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
