2026-06-18 11:02:02,124 | INFO | financial_data | 全部报表下载完成
2026-06-18 11:02:02,124 | INFO | financial_data | 2106-Temu全托管 - 登录成功（第 1 次）
2026-06-18 11:02:03,413 | INFO | financial_data | --------------正在爬取店铺2103-Temu全托管----的数据
2026-06-18 11:02:03,414 | INFO | financial_data | 2103-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:02:03,897 | INFO | financial_data | 2103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cdgoddilnfionjljedagnobpdkhcnpii', 'browserID': 99890331, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '54128', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2103店（113店改）+2108店+半托6号店+半托8号店', 'duplicate': 876623, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99890331, 'containerCode': '1006903311', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:02:03,897 | INFO | financial_data | 2103-Temu全托管 - 浏览器启动成功, 调试端口: 54128
2026-06-18 11:02:05,369 | INFO | financial_data | 2103-Temu全托管 - 已连接浏览器
2026-06-18 11:02:05,915 | INFO | financial_data | --------------------2103-Temu全托管 ------------------------ 开始登录...
2026-06-18 11:02:09,285 | INFO | financial_data | 2103-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 11:02:14,397 | INFO | financial_data | 2103-Temu全托管 - 进入财务页面
2026-06-18 11:02:24,258 | INFO | financial_data | 有数据，总共 555 条
2026-06-18 11:02:26,311 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:02:27,148 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:02:27,148 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:02:27,148 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:02:37,548 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\temu\2103-Temu全托管_01_卖家中心.xlsx
2026-06-18 11:02:38,550 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-06-18 11:02:40,680 | INFO | financial_data | 确认授权并前往
2026-06-18 11:02:51,536 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2103-Temu全托管_01_全球.xlsx
2026-06-18 11:02:52,566 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-06-18 11:02:54,690 | INFO | financial_data | 确认授权并前往
2026-06-18 11:03:04,949 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2103-Temu全托管_01_欧区.xlsx
2026-06-18 11:03:05,989 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-06-18 11:03:08,191 | INFO | financial_data | 确认授权并前往
2026-06-18 11:03:17,114 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2103-Temu全托管_01_美国.xlsx
2026-06-18 11:03:18,146 | INFO | financial_data | ✅ 2103-Temu全托管 - 所有财务数据下载完成
2026-06-18 11:03:18,146 | INFO | financial_data | 全部报表下载完成
2026-06-18 11:03:18,146 | INFO | financial_data | 2103-Temu全托管 - 登录成功（第 1 次）
2026-06-18 11:03:19,299 | INFO | financial_data | --------------正在爬取店铺2102-Temu全托管----的数据
2026-06-18 11:03:19,300 | INFO | financial_data | 2102-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:03:22,176 | INFO | financial_data | 2102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'eeakakjccihhgkahpdohdfhkoheehanb', 'browserID': 102858197, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '55628', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2102店（152店改）', 'duplicate': 2504, 'ip': '49.7.135.46', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 102858197, 'containerCode': '1036581979', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:03:22,176 | INFO | financial_data | 2102-Temu全托管 - 浏览器启动成功, 调试端口: 55628
2026-06-18 11:03:23,532 | INFO | financial_data | 2102-Temu全托管 - 已连接浏览器
2026-06-18 11:03:24,195 | INFO | financial_data | --------------------2102-Temu全托管 ------------------------ 开始登录...
2026-06-18 11:03:28,234 | INFO | financial_data | 2102-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 11:03:33,693 | INFO | financial_data | 2102-Temu全托管 - 进入财务页面
2026-06-18 11:03:43,235 | INFO | financial_data | 有数据，总共 190 条
2026-06-18 11:03:45,287 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:03:46,131 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:03:46,131 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:03:46,131 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:03:56,607 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\temu\2102-Temu全托管_01_卖家中心.xlsx
2026-06-18 11:03:57,616 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-06-18 11:04:00,119 | INFO | financial_data | 确认授权并前往
2026-06-18 11:04:10,861 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2102-Temu全托管_01_全球.xlsx
2026-06-18 11:04:11,905 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-06-18 11:04:14,120 | INFO | financial_data | 确认授权并前往
2026-06-18 11:04:24,207 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2102-Temu全托管_01_欧区.xlsx
2026-06-18 11:04:25,251 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-06-18 11:04:27,410 | INFO | financial_data | 确认授权并前往
2026-06-18 11:04:36,607 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\01月份\2102-Temu全托管_01_美国.xlsx
2026-06-18 11:04:37,637 | INFO | financial_data | ✅ 2102-Temu全托管 - 所有财务数据下载完成
2026-06-18 11:04:37,638 | INFO | financial_data | 全部报表下载完成
2026-06-18 11:04:37,638 | INFO | financial_data | 2102-Temu全托管 - 登录成功（第 1 次）
2026-06-18 11:04:38,747 | INFO | financial_data | --------------正在爬取店铺2101-Temu全托管KA----的数据
2026-06-18 11:04:38,747 | INFO | financial_data | 2101-Temu全托管KA - 第 1 次登录尝试
2026-06-18 11:04:42,259 | INFO | financial_data | 2101-Temu全托管KA - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'akgomnfmbbjjcajjhhilppefdmokndpj', 'browserID': 104355104, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '55998', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2101号店（111店改）', 'duplicate': 3154, 'ip': '124.236.76.149', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104355104, 'containerCode': '1051551049', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:04:42,259 | INFO | financial_data | 2101-Temu全托管KA - 浏览器启动成功, 调试端口: 55998
2026-06-18 11:04:43,608 | INFO | financial_data | 2101-Temu全托管KA - 已连接浏览器
