2025-12-26 18:13:51,313 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-26 18:13:51,313 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-26 18:13:51,746 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-26 18:13:51,746 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-26 18:13:52,997 | INFO | shopee_sale_data | 解析完成，共找到 50 条有效数据
2025-12-26 18:13:52,999 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:54,388 | INFO | shopee_sale_data | [虾皮全托503-juyule] 第 2 页无数据，结束爬取
2025-12-26 18:13:54,389 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托502-xiyue------------------
2025-12-26 18:13:55,763 | INFO | shopee_sale_data | 解析完成，共找到 43 条有效数据
2025-12-26 18:13:55,765 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:57,908 | INFO | shopee_sale_data | 解析完成，共找到 59 条有效数据
2025-12-26 18:13:57,910 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:59,388 | INFO | shopee_sale_data | [虾皮全托502-xiyue] 第 3 页无数据，结束爬取
2025-12-26 18:13:59,389 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托501-quzhi------------------
2025-12-26 18:14:25,473 | ERROR | shopee_sale_data | [虾皮全托501-quzhi] 第 1 页请求异常（1/3）：[虾皮全托501-quzhi] 登录失败
2025-12-26 18:14:35,430 | INFO | shopee_sale_data | 解析完成，共找到 38 条有效数据
2025-12-26 18:14:35,432 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:14:37,934 | INFO | shopee_sale_data | 解析完成，共找到 48 条有效数据
2025-12-26 18:14:37,935 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:14:40,185 | INFO | shopee_sale_data | 解析完成，共找到 93 条有效数据
2025-12-26 18:14:40,187 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:14:41,630 | INFO | shopee_sale_data | [虾皮全托501-quzhi] 第 4 页无数据，结束爬取
2025-12-26 18:14:41,630 | INFO | shopee_sale_data | ---------------------------------开始匹配sku数据-----------------------------------
2025-12-26 18:14:41,659 | INFO | shopee_sale_data | ---------------------------------开始上传数据-----------------------------------
2025-12-26 18:14:58,760 | INFO | shopee_sale_data | 数据上传成功
2025-12-26 18:14:58,761 | INFO | shopee_sale_data | 🎯 全流程完成，总耗时：1分14秒
