2026-04-17 14:05:06,301 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2103-Temu全托管--仓库待收货的数据---------------------
2026-04-17 14:05:06,443 | INFO | temu_parcel_tracer | 正在获取第1页数据...
2026-04-17 14:05:06,445 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:05:10,363 | INFO | temu_parcel_tracer | 2103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cdgoddilnfionjljedagnobpdkhcnpii', 'browserID': 99890331, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '56595', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2103店（113店改）+2108店+半托6号店+半托8号店', 'duplicate': 3427, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99890331, 'containerCode': '1006903311', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:05:10,363 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 浏览器启动成功, 调试端口: 56595
2026-04-17 14:05:11,736 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已连接浏览器
2026-04-17 14:05:13,059 | INFO | temu_parcel_tracer | --------------------2103-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:05:19,225 | ERROR | temu_parcel_tracer | 2103-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:05:19,262 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已点击进入
2026-04-17 14:05:19,263 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 登录成功
2026-04-17 14:05:19,263 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:05:30,471 | INFO | temu_parcel_tracer | 2103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2103-Temu全托管_kuajingmaihuo_cookies.json
2026-04-17 14:05:30,471 | INFO | temu_parcel_tracer | 2103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:05:30,472 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:05:30,484 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:05:31,704 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已发送停止浏览器请求
